Cloud 3 Squared,5,7,96,140
UCI Blue,5,8,159,153
Atlanta Esports Club,5,8,155,154
z Apes,5,8,154,145
Ole bustas,5,8,153,132
Alphas on Ice,5,8,152,160
SquirtleSquad,5,8,149,158
The Recipe For Success,5,8,148,156
Barnacle Boiz,5,8,148,161
Parabellum,5,8,148,175
Intermediate Bots,5,8,147,158
Noble Second Amenders,5,8,146,148
BODYSPAMMERS,5,8,144,144
Aggressively Mediocre,5,8,140,143
ForeverInYourMind,5,8,138,166
Northeastern-U Black,5,8,137,134
vdop,5,8,135,162
BOGDAN FAN CLUB,5,8,134,154
Wash3d Up,5,8,134,156
AYRABTU,5,8,134,173
WeWillBopYou,5,8,132,137
ez pz lemon cz,5,8,130,131
iShock _Elite_,5,8,128,145
Vicious and Delicious,5,8,128,156
friendship ended,5,8,126,154
Ante Up,5,8,122,149
One Death Gaming Crew,5,8,122,161
Milwaukee Wolves,5,8,120,143
Stell3r,5,8,115,163
NET CODE GUYS,5,8,111,128
MadeInMinnesota,5,8,110,143
NutPack,5,8,108,159
Amplify Team,5,8,106,140
ArcticGamingGroup,5,8,106,153
Elmos World,5,8,105,164
We dont play CS,5,8,101,128
lilwizards,5,8,101,172
OHM Gaming,5,8,100,128
MWCSGO Gold,5,8,99,141
CREED,5,8,99,157
Vizionary Esports,5,9,138,169
Homies wit Xtra Chromies,5,9,129,168
Dark Crows,5,9,114,191
freeferenth,5,9,107,184
Ozone Esports,4,1,71,39
Nut Warriors,4,4,102,73
eREKTed,4,5,92,113
Maple Syrup And Burgers,4,5,81,93
Monkey Raze,4,5,71,92
PantheonESC,4,6,89,129
Flick to Win,4,7,115,122
Full Mag Spray,4,7,115,146
Risky,4,7,112,141
Annd Frank,4,7,110,138
Boys on the block,4,7,103,136
IVOVI,4,7,101,118
WTF iAM,4,7,101,121
APE SQUAD,4,7,95,122
Tropic Clan,4,7,93,112
Mongoloids CS,4,7,88,133
Darkbloom,4,7,84,163
Literal Bots,4,7,74,125
Savant Esports,4,7,73,116
Eclipse Gaming GG,4,7,73,142
shibe tribe,4,8,139,142
UnknownTeamCS,4,8,135,147
The Syndicate s28,4,8,122,160
Integrity Gaming,4,8,114,128
Year 2000,4,8,114,137
Booty Goon Brigade,4,8,113,157
Gaming Gaming,4,8,111,164
Dog Soldiers,4,8,110,128
Distortion,4,8,108,156
OGLPT,4,8,106,150
Pipe Squad,4,8,104,163
Wild Heart,4,8,99,152
Wildfyr,4,8,97,150
D3SYR,4,8,88,135
North America PaoQu,4,8,83,169
Purple,4,8,77,128
Team Arachnid,4,8,70,128
Smooth Criminal E Sports,4,8,69,128
Grand Canyon Univ,4,9,146,171
ExhilarateCS,4,9,138,156
Fable Academy,4,9,127,166
Dynasty Gaming,4,9,126,160
Amity,4,9,114,146
For Ox,4,9,113,156
University of Phoenix,4,9,111,153
TaDa-US,4,9,109,169
University of Akron Club,4,9,108,144
no_chance,4,9,104,176
Altispeed Rejects,4,9,93,145
Team Perseus,4,9,92,161
The Hawtmemerzz,4,9,82,144
Uncensored,4,10,108,176
Oooga booga we bang ass,3,5,67,105
Category 4 Gaming,3,6,83,96
Team Holodomor,3,6,67,100
Ruin,3,7,111,136
PWNuts,3,7,101,133
Fortnite Pros,3,7,73,135
MODO,3,7,66,112
Dumblit,3,8,114,145
Team UndeR8d,3,8,110,137
Made in Brazil,3,8,94,128
jobless,3,8,90,133
RecursiveGames,3,8,83,128
StrafeCru,3,8,81,136
Enchanters,3,8,79,140
Royals Anime Club,3,8,74,135
88 Chambers,3,8,68,128
FusionUprising,3,9,137,158
6SINNERS,3,9,118,159
Team Paratus,3,9,110,144
Frost Wolves,3,9,108,159
American Esports,3,9,99,144
EnergeticAF,3,9,95,154
__Royalz,3,9,92,175
Genetic Trash,3,9,89,164
Team InFamous,3,9,81,158
S O U N D C L O U T,3,9,75,156
Divine Hentai,3,9,74,179
Yung_Puglords,3,9,73,158
Team WIN,3,9,72,182
RelliK,3,9,69,166
left alone,3,9,68,144
Cheezus Crust,3,9,68,185
5ManProQ,3,9,66,158
Get Raged,3,9,64,162
interesting Team name,3,9,58,175
TiltedGaming,3,10,128,162
ValorCS,3,10,120,185
Dreadnought Esports,3,10,116,167
Imagine Winning,3,10,96,161
RIS3N,3,10,73,162
ClothesGG,3,10,68,160
Didactic,3,11,107,176
Sentinel NA,2,4,53,73
Team Alpha-5,2,5,43,85
WHY IS HE THERE,2,5,38,82
s w a n s,2,6,58,104
Bowlcut Gaming Snipers,2,6,54,111
South LandDEDEDEDED,2,6,53,108
707 Club,2,6,42,118
Vengeance eSports CSGO,2,6,39,111
AresGGs_Esports,2,7,70,112
Adderal for Jesus,2,8,105,142
Realize Gaming,2,8,104,144
HERO Gaming,2,8,79,142
Spaceys Basement,2,8,77,149
FUBAR GAMING,2,8,69,128
We Washd Up,2,8,63,137
Knights Of The MumblaR,2,8,58,139
Team Old Skool,2,8,46,139
Anti-Ego Discord,2,8,45,154
Kestrel,2,8,44,129
NHS Millers,2,8,43,128
NA Euro,2,8,43,135
Wanted eSports,2,8,38,128
SoCaliente,2,9,94,155
Frag Unit,2,9,92,155
Christian Dads Who Game,2,9,90,154
Pitch a Tent,2,9,89,158
Instinct NA,2,9,80,155
The Green Snakes,2,9,67,157
Lean Machine Redux,2,9,59,154
